Tournament,Stage,Match Type,Player,Teams,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Boaster,FNATIC,omen,24,0.76,132,0.59,46%,86,0.42,0.42,0.08,0.21,14%,100%,1/1,10,10,17,10,2,5
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Boaster,FNATIC,"astra, omen",43,0.9,162,0.7,58%,104,0.49,0.42,0.09,0.12,16%,25%,1/4,11,21,30,18,4,5
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Derke,FNATIC,raze,19,1.12,240,1.23,63%,173,0.84,0.05,0.32,0.26,15%,,,16,16,13,1,6,5
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Derke,FNATIC,jett,24,0.88,181,0.81,50%,117,0.54,0.21,0.33,0.21,16%,,,13,13,16,5,8,5
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Derke,FNATIC,"jett, raze",43,1,210,1,56%,142,0.67,0.14,0.33,0.23,15%,,,16,29,29,6,14,10
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Leo,FNATIC,sova,24,1.14,169,1.13,79%,112,0.71,0.29,0,0.04,20%,20%,1/5,17,17,15,7,0,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Leo,FNATIC,fade,19,0.83,172,0.92,68%,123,0.63,0.16,0,0.05,20%,0%,0/4,12,12,13,3,0,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Leo,FNATIC,"fade, sova",43,0.99,170,1.04,74%,117,0.67,0.23,0,0.05,20%,11%,1/9,17,29,28,10,0,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Chronicle,FNATIC,kayo,24,0.83,183,0.75,71%,114,0.63,0.58,0.04,0.04,20%,0%,0/1,15,15,20,14,1,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Chronicle,FNATIC,viper,19,0.51,98,0.29,53%,80,0.21,0.26,0,0.05,14%,0%,0/3,4,4,14,5,0,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Chronicle,FNATIC,"kayo, viper",43,0.67,140,0.56,63%,99,0.44,0.44,0.02,0.05,18%,0%,0/4,15,19,34,19,1,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Alfajer,FNATIC,killjoy,43,1.06,222,1.18,74%,159,0.77,0.16,0.07,0.05,23%,0%,0/8,25,33,28,7,3,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Demon1,Evil Geniuses,astra,26,1.01,206,1.11,62%,134,0.77,0.19,0.12,0,38%,20%,1/5,20,20,18,5,3,0
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Demon1,Evil Geniuses,jett,36,1.59,348,1.96,86%,231,1.31,0.19,0.25,0.08,42%,0%,0/6,25,47,24,7,9,3
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Demon1,Evil Geniuses,"astra, jett",62,1.4,301,1.6,76%,191,1.08,0.19,0.19,0.05,40%,9%,1/11,25,67,42,12,12,3
Valorant Champions 2023,Playoffs,Upper Quarterfinals,jawgemo,Evil Geniuses,astra,18,0.97,130,0.73,83%,82,0.44,0.56,0.17,0.11,22%,0%,0/1,8,8,11,10,3,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,jawgemo,Evil Geniuses,raze,26,0.88,218,0.81,77%,145,0.65,0.19,0.23,0.15,22%,0%,0/1,17,17,21,5,6,4
Valorant Champions 2023,Playoffs,Upper Quarterfinals,jawgemo,Evil Geniuses,omen,18,1.35,169,1.25,83%,97,0.56,0.83,0.11,0.06,20%,,,10,10,8,15,2,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,jawgemo,Evil Geniuses,"astra, omen, raze",62,1.07,172,0.88,81%,113,0.56,0.48,0.18,0.11,21%,0%,0/2,17,35,40,30,11,7
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Boostio,Evil Geniuses,chamber,26,0.61,148,0.57,58%,108,0.46,0.12,0.08,0.19,14%,0%,0/2,12,12,21,3,2,5
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Boostio,Evil Geniuses,killjoy,36,1.25,220,1.29,75%,163,0.75,0.28,0.14,0.06,33%,100%,2/2,14,27,21,10,5,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Boostio,Evil Geniuses,"chamber, killjoy",62,1.04,196,0.93,68%,140,0.63,0.21,0.11,0.11,27%,50%,2/4,14,39,42,13,7,7
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Ethan,Evil Geniuses,skye,26,1.04,189,0.94,77%,122,0.65,0.42,0.04,0.04,26%,20%,1/5,17,17,18,11,1,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Ethan,Evil Geniuses,kayo,18,1.6,275,2,78%,161,1,0.67,0.11,0.06,21%,0%,0/1,18,18,9,12,2,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Ethan,Evil Geniuses,yoru,18,1.44,296,2,89%,185,1.11,0.22,0.17,0,20%,100%,1/1,20,20,10,4,3,0
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Ethan,Evil Geniuses,"kayo, skye, yoru",62,1.36,253,1.49,81%,152,0.89,0.44,0.1,0.03,22%,29%,2/7,20,55,37,27,6,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,C0M,Evil Geniuses,sova,36,1.1,179,1.2,81%,118,0.67,0.36,0.06,0.03,19%,0%,0/2,14,24,20,13,2,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,C0M,Evil Geniuses,viper,26,0.94,181,1,54%,119,0.65,0.08,0.12,0.04,34%,25%,1/4,17,17,17,2,3,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,C0M,Evil Geniuses,"sova, viper",62,1.05,180,1.11,69%,118,0.66,0.24,0.08,0.03,25%,17%,1/6,17,41,37,15,5,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,mindfreak,Paper Rex,astra,17,0.78,113,0.89,71%,70,0.47,0.24,0,0.06,21%,100%,1/1,8,8,9,4,0,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,mindfreak,Paper Rex,viper,23,1,122,1.1,65%,76,0.48,0.13,0.04,0,30%,0%,0/2,11,11,10,3,1,0
Valorant Champions 2023,Playoffs,Upper Quarterfinals,mindfreak,Paper Rex,"astra, viper",40,0.89,118,1,68%,73,0.48,0.18,0.03,0.03,26%,33%,1/3,11,19,19,7,1,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,d4v41,Paper Rex,skye,40,1.46,262,1.67,93%,157,0.88,0.63,0.1,0,31%,0%,0/3,20,35,21,25,4,0
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Jinggg,Paper Rex,phoenix,17,0.85,143,0.75,59%,90,0.53,0.29,0.06,0.24,26%,0%,0/1,9,9,12,5,1,4
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Jinggg,Paper Rex,raze,23,1.01,228,1.4,70%,140,0.91,0.09,0.17,0.22,18%,0%,0/1,21,21,15,2,4,5
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Jinggg,Paper Rex,"phoenix, raze",40,0.93,186,1.11,65%,119,0.75,0.18,0.13,0.23,21%,0%,0/2,21,30,27,7,5,9
Valorant Champions 2023,Playoffs,Upper Quarterfinals,f0rsakeN,Paper Rex,harbor,23,1.08,237,1.06,83%,153,0.83,0.43,0.04,0.04,25%,0%,0/4,19,19,18,10,1,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,f0rsakeN,Paper Rex,killjoy,17,1.46,298,1.7,82%,209,1,0.18,0.12,0,30%,0%,0/1,17,17,10,3,2,0
Valorant Champions 2023,Playoffs,Upper Quarterfinals,f0rsakeN,Paper Rex,"harbor, killjoy",40,1.27,268,1.29,83%,177,0.9,0.33,0.08,0.03,27%,0%,0/5,19,36,28,13,3,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,something,Paper Rex,reyna,23,1.35,291,1.85,70%,178,1.04,0.17,0.17,0.22,27%,0%,0/1,24,24,13,4,4,5
Valorant Champions 2023,Playoffs,Upper Quarterfinals,something,Paper Rex,jett,17,1.28,229,1.67,76%,148,0.88,0.06,0.35,0.06,36%,0%,0/1,15,15,9,1,6,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,something,Paper Rex,"jett, reyna",40,1.31,260,1.77,73%,165,0.98,0.13,0.25,0.15,30%,0%,0/2,24,39,22,5,10,6
Valorant Champions 2023,Playoffs,Upper Quarterfinals,stax,DRX,skye,22,1.01,201,1.21,73%,124,0.77,0.5,0.05,0.14,36%,0%,0/1,17,17,14,11,1,3
Valorant Champions 2023,Playoffs,Upper Quarterfinals,stax,DRX,fade,23,0.81,117,0.63,70%,76,0.43,0.26,0.09,0.13,25%,50%,1/2,10,10,16,6,2,3
Valorant Champions 2023,Playoffs,Upper Quarterfinals,stax,DRX,"fade, skye",45,0.91,159,0.9,71%,99,0.6,0.38,0.07,0.13,31%,33%,1/3,17,27,30,17,3,6
Valorant Champions 2023,Playoffs,Upper Quarterfinals,BuZz,DRX,raze,23,1.29,297,1.18,83%,202,0.87,0.52,0.3,0.17,16%,0%,0/1,20,20,17,12,7,4
Valorant Champions 2023,Playoffs,Upper Quarterfinals,BuZz,DRX,jett,22,1.23,254,1.5,77%,173,0.95,0.09,0.27,0.09,25%,,,21,21,14,2,6,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,BuZz,DRX,"jett, raze",45,1.26,276,1.32,80%,188,0.91,0.31,0.29,0.13,19%,0%,0/1,21,41,31,14,13,6
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Zest,DRX,viper,45,1.26,242,1.36,73%,150,0.84,0.42,0.13,0.04,45%,0%,0/6,24,38,28,19,6,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Rb,DRX,killjoy,45,0.79,130,0.71,71%,93,0.49,0.16,0.02,0.04,21%,11%,1/9,14,22,31,7,1,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,MaKo,DRX,omen,45,1.22,216,1.21,84%,141,0.76,0.71,0.11,0.02,30%,40%,2/5,20,34,28,32,5,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,AtaKaptan,FUT Esports,brimstone,17,0.95,236,0.92,53%,162,0.71,0.35,0.12,0.18,31%,0%,0/1,12,12,13,6,2,3
Valorant Champions 2023,Playoffs,Upper Quarterfinals,AtaKaptan,FUT Esports,omen,23,0.67,125,0.5,65%,90,0.39,0.35,0.09,0.22,16%,50%,1/2,9,9,18,8,2,5
Valorant Champions 2023,Playoffs,Upper Quarterfinals,AtaKaptan,FUT Esports,"brimstone, omen",40,0.81,180,0.68,60%,120,0.53,0.35,0.1,0.2,23%,33%,1/3,12,21,31,14,4,8
Valorant Champions 2023,Playoffs,Upper Quarterfinals,MrFaliN,FUT Esports,sova,23,1.24,276,1.17,74%,190,0.91,0.22,0.04,0.09,31%,25%,1/4,21,21,18,5,1,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,MrFaliN,FUT Esports,killjoy,17,0.8,180,0.67,65%,144,0.59,0.18,0.12,0.06,32%,0%,0/1,10,10,15,3,2,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,MrFaliN,FUT Esports,"killjoy, sova",40,1.02,228,0.94,70%,171,0.78,0.2,0.08,0.08,31%,20%,1/5,21,31,33,8,3,3
Valorant Champions 2023,Playoffs,Upper Quarterfinals,qRaxs,FUT Esports,kayo,40,0.66,146,0.59,73%,115,0.48,0.4,0,0.08,27%,0%,0/4,14,19,32,16,0,3
Valorant Champions 2023,Playoffs,Upper Quarterfinals,MOJJ,FUT Esports,viper,17,0.72,155,0.69,65%,107,0.53,0.24,0.06,0.12,20%,0%,0/4,9,9,13,4,1,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,MOJJ,FUT Esports,killjoy,23,0.77,115,0.53,52%,82,0.39,0.09,0.09,0.04,22%,20%,1/5,9,9,17,2,2,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,MOJJ,FUT Esports,"killjoy, viper",40,0.74,135,0.6,58%,93,0.45,0.15,0.08,0.08,21%,11%,1/9,9,18,30,6,3,3
Valorant Champions 2023,Playoffs,Upper Quarterfinals,qw1,FUT Esports,jett,40,0.82,198,0.85,65%,127,0.7,0.13,0.18,0.15,23%,17%,1/6,15,28,33,5,7,6
Valorant Champions 2023,Playoffs,Upper Quarterfinals,aspas,LOUD,raze,19,1.44,216,1.88,79%,152,0.79,0.16,0.11,0,26%,0%,0/2,15,15,8,3,2,0
Valorant Champions 2023,Playoffs,Upper Quarterfinals,aspas,LOUD,jett,24,1.23,251,1.35,79%,144,0.96,0.25,0.17,0.08,29%,0%,0/1,23,23,17,6,4,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,aspas,LOUD,"jett, raze",43,1.33,234,1.52,79%,147,0.88,0.21,0.14,0.05,27%,0%,0/3,23,38,25,9,6,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,cauanzin,LOUD,sova,24,1.38,264,1.69,88%,173,0.92,0.29,0.13,0,26%,0%,0/3,22,22,13,7,3,0
Valorant Champions 2023,Playoffs,Upper Quarterfinals,cauanzin,LOUD,fade,19,0.95,175,1.08,68%,97,0.68,0.32,0.11,0.05,27%,,,13,13,12,6,2,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,cauanzin,LOUD,"fade, sova",43,1.17,220,1.4,79%,140,0.81,0.3,0.12,0.02,26%,0%,0/3,22,35,25,13,5,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,saadhak,LOUD,kayo,24,0.83,178,0.6,63%,109,0.5,0.75,0.04,0.17,12%,0%,0/1,12,12,20,18,1,4
Valorant Champions 2023,Playoffs,Upper Quarterfinals,saadhak,LOUD,viper,19,0.78,154,0.83,68%,111,0.53,0.11,0.11,0.21,18%,67%,2/3,10,10,12,2,2,4
Valorant Champions 2023,Playoffs,Upper Quarterfinals,saadhak,LOUD,"kayo, viper",43,0.81,166,0.69,65%,110,0.51,0.47,0.07,0.19,14%,50%,2/4,12,22,32,20,3,8
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Less,LOUD,killjoy,43,1.23,222,1.36,70%,146,0.79,0.12,0.12,0.14,31%,40%,2/5,17,34,25,5,5,6
Valorant Champions 2023,Playoffs,Upper Quarterfinals,tuyz,LOUD,omen,43,0.96,136,0.83,74%,94,0.47,0.6,0.05,0.12,31%,20%,1/5,10,20,24,26,2,5
Valorant Champions 2023,Playoffs,Upper Semifinals,cauanzin,LOUD,skye,15,1.31,238,1.75,87%,145,0.93,0.27,0.13,0.13,26%,,,14,14,8,4,2,2
Valorant Champions 2023,Playoffs,Upper Semifinals,cauanzin,LOUD,fade,51,1,220,0.97,78%,138,0.75,0.43,0.1,0.14,31%,17%,1/6,20,38,39,22,5,7
Valorant Champions 2023,Playoffs,Upper Semifinals,cauanzin,LOUD,"fade, skye",66,1.1,226,1.11,80%,140,0.79,0.39,0.11,0.14,30%,17%,1/6,20,52,47,26,7,9
Valorant Champions 2023,Playoffs,Upper Semifinals,aspas,LOUD,jett,23,1.5,326,1.93,78%,201,1.17,0.09,0.3,0.22,40%,0%,0/2,27,27,14,2,7,5
Valorant Champions 2023,Playoffs,Upper Semifinals,aspas,LOUD,raze,43,1.06,216,1.18,77%,138,0.77,0.12,0.19,0.12,23%,,,21,33,28,5,8,5
Valorant Champions 2023,Playoffs,Upper Semifinals,aspas,LOUD,"jett, raze",66,1.21,252,1.43,77%,160,0.91,0.11,0.23,0.15,28%,0%,0/2,27,60,42,7,15,10
Valorant Champions 2023,Playoffs,Upper Semifinals,saadhak,LOUD,breach,38,1.12,162,0.75,84%,109,0.47,0.71,0.05,0.05,16%,0%,0/3,10,18,24,27,2,2
Valorant Champions 2023,Playoffs,Upper Semifinals,saadhak,LOUD,viper,28,0.9,228,0.83,71%,148,0.71,0.43,0.14,0.14,16%,0%,0/5,20,20,24,12,4,4
Valorant Champions 2023,Playoffs,Upper Semifinals,saadhak,LOUD,"breach, viper",66,1.05,184,0.79,79%,126,0.58,0.59,0.09,0.09,16%,0%,0/8,20,38,48,39,6,6
Valorant Champions 2023,Playoffs,Upper Semifinals,Less,LOUD,killjoy,66,1.27,250,1.28,70%,149,0.83,0.23,0.06,0.03,24%,14%,1/7,24,55,43,15,4,2
Valorant Champions 2023,Playoffs,Upper Semifinals,tuyz,LOUD,astra,38,1.05,140,0.87,82%,94,0.53,0.61,0.03,0.05,35%,0%,0/6,14,20,23,23,1,2
Valorant Champions 2023,Playoffs,Upper Semifinals,tuyz,LOUD,omen,28,1.09,184,1.18,68%,116,0.71,0.54,0.07,0.07,35%,25%,1/4,20,20,17,15,2,2
Valorant Champions 2023,Playoffs,Upper Semifinals,tuyz,LOUD,"astra, omen",66,1.06,154,1,76%,103,0.61,0.58,0.05,0.06,35%,10%,1/10,20,40,40,38,3,4
Valorant Champions 2023,Playoffs,Upper Semifinals,Ethan,Evil Geniuses,skye,17,1.07,190,1.2,88%,124,0.71,0.41,0,0.06,18%,,,12,12,10,7,0,1
Valorant Champions 2023,Playoffs,Upper Semifinals,Ethan,Evil Geniuses,breach,22,1.01,112,0.67,91%,68,0.36,0.59,0.05,0.09,25%,,,8,8,12,13,1,2
Valorant Champions 2023,Playoffs,Upper Semifinals,Ethan,Evil Geniuses,"breach, skye",39,1.04,151,0.91,90%,93,0.51,0.51,0.03,0.08,21%,,,12,20,22,20,1,3
Valorant Champions 2023,Playoffs,Upper Semifinals,C0M,Evil Geniuses,sova,22,1.54,252,2.2,82%,164,1,0.36,0.09,0,28%,100%,2/2,22,22,10,8,2,0
Valorant Champions 2023,Playoffs,Upper Semifinals,C0M,Evil Geniuses,viper,17,1.21,211,1.56,82%,126,0.82,0.65,0,0.06,17%,25%,1/4,14,14,9,11,0,1
Valorant Champions 2023,Playoffs,Upper Semifinals,C0M,Evil Geniuses,"sova, viper",39,1.38,232,1.89,82%,148,0.92,0.49,0.05,0.03,23%,50%,3/6,22,36,19,19,2,1
Valorant Champions 2023,Playoffs,Upper Semifinals,Boostio,Evil Geniuses,killjoy,39,1.06,200,1.04,74%,128,0.69,0.28,0.08,0.1,16%,0%,0/3,14,27,26,11,3,4
Valorant Champions 2023,Playoffs,Upper Semifinals,Demon1,Evil Geniuses,brimstone,22,1.79,332,3.11,86%,228,1.27,0.41,0.09,0.05,39%,0%,0/3,28,28,9,9,2,1
Valorant Champions 2023,Playoffs,Upper Semifinals,Demon1,Evil Geniuses,astra,17,1.37,238,2.14,76%,136,0.88,0.29,0.24,0,39%,,,15,15,7,5,4,0
Valorant Champions 2023,Playoffs,Upper Semifinals,Demon1,Evil Geniuses,"astra, brimstone",39,1.58,285,2.69,82%,188,1.1,0.36,0.15,0.03,39%,0%,0/3,28,43,16,14,6,1
Valorant Champions 2023,Playoffs,Upper Semifinals,jawgemo,Evil Geniuses,raze,39,1.04,223,1.07,79%,144,0.79,0.18,0.13,0.33,21%,0%,0/2,17,31,29,7,5,13
Valorant Champions 2023,Playoffs,Upper Semifinals,d4v41,Paper Rex,skye,51,1.02,194,0.94,78%,127,0.67,0.55,0.02,0.02,37%,20%,1/5,18,34,36,28,1,1
Valorant Champions 2023,Playoffs,Upper Semifinals,d4v41,Paper Rex,viper,15,0.84,182,0.62,60%,136,0.53,0.27,0.07,0,15%,0%,0/2,8,8,13,4,1,0
Valorant Champions 2023,Playoffs,Upper Semifinals,d4v41,Paper Rex,"skye, viper",66,0.96,190,0.86,74%,129,0.64,0.48,0.03,0.02,30%,14%,1/7,18,42,49,32,2,1
Valorant Champions 2023,Playoffs,Upper Semifinals,f0rsakeN,Paper Rex,skye,15,0.49,78,0.23,60%,65,0.2,0.47,0,0.27,28%,0%,0/3,3,3,13,7,0,4
Valorant Champions 2023,Playoffs,Upper Semifinals,f0rsakeN,Paper Rex,killjoy,23,1.12,214,1.06,65%,137,0.78,0.26,0.13,0.09,18%,33%,1/3,18,18,17,6,3,2
Valorant Champions 2023,Playoffs,Upper Semifinals,f0rsakeN,Paper Rex,astra,28,0.85,194,0.95,71%,121,0.71,0.32,0.07,0.04,13%,0%,0/4,20,20,21,9,2,1
Valorant Champions 2023,Playoffs,Upper Semifinals,f0rsakeN,Paper Rex,"astra, killjoy, skye",66,0.82,162,0.8,67%,114,0.62,0.33,0.08,0.11,16%,10%,1/10,20,41,51,22,5,7
Valorant Champions 2023,Playoffs,Upper Semifinals,something,Paper Rex,jett,66,1.11,217,1.2,73%,142,0.83,0.12,0.2,0.14,17%,22%,2/9,31,55,46,8,13,9
Valorant Champions 2023,Playoffs,Upper Semifinals,mindfreak,Paper Rex,astra,38,0.73,138,0.67,68%,88,0.47,0.39,0.08,0.05,23%,17%,1/6,9,18,27,15,3,2
