Tournament,Stage,Match Type,Player,Teams,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Knight,Bilibili Gaming,breach,22,0.99,169,1,73%,118,0.59,0.45,0.05,0.14,34%,0%,0/4,13,13,13,10,1,3
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Knight,Bilibili Gaming,omen,23,0.9,182,0.88,83%,112,0.61,0.43,0.04,0.13,30%,0%,0/2,14,14,16,10,1,3
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Knight,Bilibili Gaming,"breach, omen",45,0.94,176,0.93,78%,115,0.6,0.44,0.04,0.13,32%,0%,0/6,14,27,29,20,2,6
Valorant Champions 2023,Playoffs,Upper Quarterfinals,whzy,Bilibili Gaming,raze,23,1.26,257,1.47,70%,172,0.96,0.09,0.09,0.26,16%,0%,0/4,22,22,15,2,2,6
Valorant Champions 2023,Playoffs,Upper Quarterfinals,whzy,Bilibili Gaming,jett,22,0.81,216,0.81,55%,122,0.77,0.05,0.23,0.27,28%,0%,0/1,17,17,21,1,5,6
Valorant Champions 2023,Playoffs,Upper Quarterfinals,whzy,Bilibili Gaming,"jett, raze",45,1.04,236,1.08,62%,148,0.87,0.07,0.16,0.27,21%,0%,0/5,22,39,36,3,7,12
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Biank,Bilibili Gaming,sova,22,1.19,266,1.06,77%,191,0.82,0.55,0.05,0.05,24%,0%,0/3,18,18,17,12,1,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Biank,Bilibili Gaming,fade,23,0.83,155,0.8,61%,94,0.52,0.35,0,0.04,17%,0%,0/2,12,12,15,8,0,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Biank,Bilibili Gaming,"fade, sova",45,1.01,210,0.94,69%,142,0.67,0.44,0.02,0.04,21%,0%,0/5,18,30,32,20,1,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Yosemite,Bilibili Gaming,viper,23,1.02,217,1,83%,134,0.74,0.35,0.09,0.09,22%,50%,1/2,17,17,17,8,2,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Yosemite,Bilibili Gaming,killjoy,22,0.74,132,0.47,68%,100,0.36,0.23,0.05,0.18,26%,25%,1/4,8,8,17,5,1,4
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Yosemite,Bilibili Gaming,"killjoy, viper",45,0.88,174,0.74,76%,117,0.56,0.29,0.07,0.13,24%,33%,2/6,17,25,34,13,3,6
Valorant Champions 2023,Playoffs,Upper Quarterfinals,rin,Bilibili Gaming,killjoy,23,0.8,156,0.87,52%,84,0.57,0.09,0.17,0.09,23%,0%,0/2,13,13,15,2,4,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,rin,Bilibili Gaming,omen,22,0.99,158,0.88,82%,87,0.64,0.59,0,0,16%,33%,1/3,14,14,16,13,0,0
Valorant Champions 2023,Playoffs,Upper Quarterfinals,rin,Bilibili Gaming,"killjoy, omen",45,0.9,157,0.87,67%,86,0.6,0.33,0.09,0.04,20%,20%,1/5,14,27,31,15,4,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Haodong,EDward Gaming,astra,26,1.2,153,0.92,73%,114,0.46,0.65,0.04,0,28%,50%,1/2,12,12,13,17,1,0
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Haodong,EDward Gaming,omen,36,0.52,145,0.55,64%,91,0.5,0.42,0.03,0.06,26%,0%,0/7,10,18,33,15,1,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Haodong,EDward Gaming,"astra, omen",62,0.74,148,0.65,68%,100,0.48,0.52,0.03,0.03,27%,11%,1/9,12,30,46,32,2,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,nobody,EDward Gaming,skye,44,0.83,188,0.82,68%,116,0.61,0.34,0.16,0.18,17%,0%,0/2,17,27,33,15,7,8
Valorant Champions 2023,Playoffs,Upper Quarterfinals,nobody,EDward Gaming,sova,18,0.87,189,0.73,61%,131,0.61,0.28,0.11,0.33,34%,0%,0/3,11,11,15,5,2,6
Valorant Champions 2023,Playoffs,Upper Quarterfinals,nobody,EDward Gaming,"skye, sova",62,0.84,189,0.79,66%,120,0.61,0.32,0.15,0.23,21%,0%,0/5,17,38,48,20,9,14
Valorant Champions 2023,Playoffs,Upper Quarterfinals,ZmjjKK,EDward Gaming,raze,26,1,221,1.11,73%,155,0.81,0.23,0.04,0.23,21%,0%,0/1,21,21,19,6,1,6
Valorant Champions 2023,Playoffs,Upper Quarterfinals,ZmjjKK,EDward Gaming,jett,36,0.6,176,0.64,56%,106,0.58,0.19,0.06,0.22,24%,0%,0/4,13,21,33,7,2,8
Valorant Champions 2023,Playoffs,Upper Quarterfinals,ZmjjKK,EDward Gaming,"jett, raze",62,0.73,191,0.81,63%,126,0.68,0.21,0.05,0.23,22%,0%,0/5,21,42,52,13,3,14
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Smoggy,EDward Gaming,kayo,18,0.59,103,0.54,72%,76,0.39,0.44,0,0.11,40%,0%,0/3,7,7,13,8,0,2
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Smoggy,EDward Gaming,killjoy,18,1.15,241,1.14,72%,158,0.89,0.17,0.11,0.06,25%,0%,0/5,16,16,14,3,2,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Smoggy,EDward Gaming,jett,26,1.15,234,1.21,65%,172,0.88,0.12,0.15,0.15,36%,0%,0/3,23,23,19,3,4,4
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Smoggy,EDward Gaming,"jett, kayo, killjoy",62,0.96,193,1,69%,140,0.74,0.23,0.1,0.11,31%,0%,0/11,23,46,46,14,6,7
Valorant Champions 2023,Playoffs,Upper Quarterfinals,CHICHOO,EDward Gaming,viper,44,1.02,197,1.03,70%,136,0.7,0.23,0.02,0.07,29%,14%,1/7,22,31,30,10,1,3
Valorant Champions 2023,Playoffs,Upper Quarterfinals,CHICHOO,EDward Gaming,killjoy,18,0.87,204,0.73,61%,140,0.61,0.33,0,0.06,21%,0%,0/2,11,11,15,6,0,1
Valorant Champions 2023,Playoffs,Upper Quarterfinals,CHICHOO,EDward Gaming,"killjoy, viper",62,0.97,199,0.93,68%,138,0.68,0.26,0.02,0.06,26%,11%,1/9,22,42,45,16,1,4
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Boaster,FNATIC,astra,19,1.03,192,0.85,74%,126,0.58,0.42,0.11,0,18%,0%,0/3,11,11,13,8,2,0
