Tournament,Stage,Match Type,Player,Teams,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths
Valorant Champions 2021,Playoffs,Quarterfinals,leaf,Cloud9,skye,23,1.31,327,1.56,74%,169,1.22,0.04,0.35,0.3,26%,25%,1/4,28,28,18,1,8,7
Valorant Champions 2021,Playoffs,Quarterfinals,leaf,Cloud9,"jett, skye",47,1.33,317,1.47,77%,181,1.13,0.19,0.38,0.23,26%,20%,1/5,28,53,36,9,18,11
Valorant Champions 2021,Playoffs,Quarterfinals,Xeppaa,Cloud9,raze,23,0.59,158,0.58,61%,103,0.48,0.17,0,0.04,8%,,,11,11,19,4,0,1
Valorant Champions 2021,Playoffs,Quarterfinals,Xeppaa,Cloud9,kayo,24,0.57,84,0.32,63%,63,0.25,0.42,0.04,0.08,17%,,,6,6,19,10,1,2
Valorant Champions 2021,Playoffs,Quarterfinals,Xeppaa,Cloud9,"kayo, raze",47,0.58,121,0.45,62%,82,0.36,0.3,0.02,0.06,11%,,,11,17,38,14,1,3
Valorant Champions 2021,Playoffs,Quarterfinals,mitch,Cloud9,viper,23,0.81,184,0.78,57%,124,0.61,0.26,0.04,0.04,28%,50%,1/2,14,14,18,6,1,1
Valorant Champions 2021,Playoffs,Quarterfinals,mitch,Cloud9,killjoy,24,0.85,149,0.75,67%,114,0.5,0.13,0.17,0,13%,0%,0/4,12,12,16,3,4,0
Valorant Champions 2021,Playoffs,Quarterfinals,mitch,Cloud9,"killjoy, viper",47,0.83,166,0.76,62%,119,0.55,0.19,0.11,0.02,19%,17%,1/6,14,26,34,9,5,1
Valorant Champions 2021,Playoffs,Quarterfinals,vanity,Cloud9,astra,47,1.01,161,0.87,72%,112,0.55,0.36,0.06,0.02,28%,23%,3/13,16,26,30,17,3,1
Valorant Champions 2021,Playoffs,Quarterfinals,JessieVash,Team Secret,sova,40,0.73,196,0.69,65%,149,0.6,0.33,0.08,0.18,28%,0%,0/6,13,24,35,13,3,7
Valorant Champions 2021,Playoffs,Quarterfinals,DubsteP,Team Secret,jett,40,0.92,207,0.91,65%,140,0.73,0.05,0.18,0.15,27%,0%,0/6,16,29,32,2,7,6
Valorant Champions 2021,Playoffs,Quarterfinals,dispenser,Team Secret,cypher,19,0.89,186,0.8,68%,130,0.63,0.21,0,0.11,29%,0%,0/3,12,12,15,4,0,2
Valorant Champions 2021,Playoffs,Quarterfinals,dispenser,Team Secret,sage,21,0.89,166,0.67,81%,125,0.57,0.33,0,0.1,32%,20%,1/5,12,12,18,7,0,2
Valorant Champions 2021,Playoffs,Quarterfinals,dispenser,Team Secret,"cypher, sage",40,0.89,176,0.73,75%,128,0.6,0.28,0,0.1,31%,13%,1/8,12,24,33,11,0,4
Valorant Champions 2021,Playoffs,Quarterfinals,Witz,Team Secret,reyna,21,1.15,282,0.94,62%,196,0.81,0.33,0,0.1,18%,0%,0/3,17,17,18,7,0,2
Valorant Champions 2021,Playoffs,Quarterfinals,Witz,Team Secret,skye,19,0.9,207,0.93,68%,135,0.68,0.16,0.11,0.05,24%,0%,0/3,13,13,14,3,2,1
Valorant Champions 2021,Playoffs,Quarterfinals,Witz,Team Secret,"reyna, skye",40,1.02,244,0.94,65%,167,0.75,0.25,0.05,0.08,20%,0%,0/6,17,30,32,10,2,3
Valorant Champions 2021,Playoffs,Quarterfinals,BORKUM,Team Secret,viper,40,0.78,161,0.77,55%,108,0.58,0.2,0.08,0.13,25%,0%,0/1,19,23,30,8,3,5
Valorant Champions 2021,Playoffs,Quarterfinals,Mazino,KR�� Esports,sova,47,0.63,136,0.54,64%,101,0.43,0.26,0.02,0.06,31%,0%,0/3,12,20,37,12,1,3
Valorant Champions 2021,Playoffs,Quarterfinals,Mazino,KR�� Esports,skye,21,1.47,237,2,90%,152,0.95,0.33,0.14,0,29%,50%,1/2,20,20,10,7,3,0
Valorant Champions 2021,Playoffs,Quarterfinals,Mazino,KR�� Esports,"skye, sova",68,0.91,169,0.85,72%,117,0.59,0.28,0.06,0.04,30%,20%,1/5,20,40,47,19,4,3
Valorant Champions 2021,Playoffs,Quarterfinals,NagZ,KR�� Esports,jett,68,0.78,146,0.78,69%,91,0.53,0.12,0.12,0.15,16%,13%,1/8,15,36,46,8,8,10
Valorant Champions 2021,Playoffs,Quarterfinals,keznit,KR�� Esports,raze,21,1.49,304,1.91,86%,205,1,0.43,0.1,0.05,17%,,,21,21,11,9,2,1
Valorant Champions 2021,Playoffs,Quarterfinals,keznit,KR�� Esports,reyna,47,1.3,304,1.37,79%,171,1.02,0.13,0.26,0.13,38%,33%,2/6,28,48,35,6,12,6
Valorant Champions 2021,Playoffs,Quarterfinals,keznit,KR�� Esports,"raze, reyna",68,1.36,304,1.5,81%,182,1.01,0.22,0.21,0.1,28%,33%,2/6,28,69,46,15,14,7
Valorant Champions 2021,Playoffs,Quarterfinals,Klaus,KR�� Esports,viper,40,0.8,190,0.93,78%,116,0.65,0.2,0.13,0.1,13%,13%,1/8,18,26,28,8,5,4
Valorant Champions 2021,Playoffs,Quarterfinals,Klaus,KR�� Esports,killjoy,28,0.8,159,0.89,64%,104,0.57,0.07,0.04,0.07,26%,71%,5/7,16,16,18,2,1,2
Valorant Champions 2021,Playoffs,Quarterfinals,Klaus,KR�� Esports,"killjoy, viper",68,0.8,180,0.91,72%,111,0.62,0.15,0.09,0.09,18%,40%,6/15,18,42,46,10,6,6
Valorant Champions 2021,Playoffs,Quarterfinals,delz1k,KR�� Esports,sage,19,0.51,108,0.46,63%,79,0.32,0.21,0,0.16,38%,0%,0/1,6,6,13,4,0,3
Valorant Champions 2021,Playoffs,Quarterfinals,delz1k,KR�� Esports,astra,49,0.96,180,1.07,76%,140,0.65,0.24,0.08,0.04,28%,0%,0/7,26,32,30,12,4,2
Valorant Champions 2021,Playoffs,Quarterfinals,delz1k,KR�� Esports,"astra, sage",68,0.81,156,0.88,72%,123,0.56,0.24,0.06,0.07,29%,0%,0/8,26,38,43,16,4,5
Valorant Champions 2021,Playoffs,Semifinals,Mazino,KR�� Esports,sova,20,1.59,383,2.33,80%,240,1.4,0.3,0.1,0,23%,25%,1/4,28,28,12,6,2,0
Valorant Champions 2021,Playoffs,Semifinals,Mazino,KR�� Esports,skye,34,0.68,146,0.76,68%,87,0.56,0.09,0.03,0.06,17%,20%,1/5,19,19,25,3,1,2
Valorant Champions 2021,Playoffs,Semifinals,Mazino,KR�� Esports,kayo,21,0.79,124,0.53,57%,93,0.38,0.33,0,0.1,36%,0%,0/4,8,8,15,7,0,2
Valorant Champions 2021,Playoffs,Semifinals,Mazino,KR�� Esports,"kayo, skye, sova",75,1.02,218,1.06,68%,129,0.73,0.21,0.04,0.05,23%,15%,2/13,28,55,52,16,3,4
Valorant Champions 2021,Playoffs,Semifinals,Klaus,KR�� Esports,sova,21,0.87,115,0.54,67%,80,0.33,0.38,0,0,32%,0%,0/2,7,7,13,8,0,0
Valorant Champions 2021,Playoffs,Semifinals,Klaus,KR�� Esports,viper,34,1.08,204,1.19,62%,132,0.74,0.26,0.06,0.24,26%,60%,3/5,25,25,21,9,2,8
Valorant Champions 2021,Playoffs,Semifinals,Klaus,KR�� Esports,killjoy,20,0.95,145,0.82,70%,101,0.45,0.3,0,0.15,27%,0%,0/2,9,9,11,6,0,3
Valorant Champions 2021,Playoffs,Semifinals,Klaus,KR�� Esports,"killjoy, sova, viper",75,0.97,155,0.91,65%,109,0.55,0.31,0.03,0.15,27%,33%,3/9,25,41,45,23,2,11
Valorant Champions 2021,Playoffs,Semifinals,delz1k,KR�� Esports,viper,21,0.62,132,0.65,62%,75,0.52,0.05,0,0.14,38%,,,11,11,17,1,0,3
Valorant Champions 2021,Playoffs,Semifinals,delz1k,KR�� Esports,brimstone,34,1.05,211,1,74%,145,0.76,0.35,0.03,0.06,24%,0%,0/4,26,26,26,12,1,2
Valorant Champions 2021,Playoffs,Semifinals,delz1k,KR�� Esports,astra,20,0.87,103,0.64,75%,80,0.35,0.4,0,0.05,26%,0%,0/1,7,7,11,8,0,1
Valorant Champions 2021,Playoffs,Semifinals,delz1k,KR�� Esports,"astra, brimstone, viper",75,0.84,149,0.81,71%,108,0.59,0.28,0.01,0.08,27%,0%,0/5,26,44,54,21,1,6
Valorant Champions 2021,Playoffs,Semifinals,keznit,KR�� Esports,raze,34,0.92,237,0.93,62%,153,0.79,0.21,0.06,0.24,18%,25%,1/4,27,27,29,7,2,8
Valorant Champions 2021,Playoffs,Semifinals,keznit,KR�� Esports,cypher,21,0.81,289,1.11,52%,178,0.95,0.05,0.19,0.19,37%,0%,0/1,20,20,18,1,4,4
Valorant Champions 2021,Playoffs,Semifinals,keznit,KR�� Esports,reyna,20,0.89,220,0.94,70%,140,0.75,0.2,0.25,0.1,26%,0%,0/1,15,15,16,4,5,2
Valorant Champions 2021,Playoffs,Semifinals,keznit,KR�� Esports,"cypher, raze, reyna",75,0.87,249,0.98,61%,156,0.83,0.16,0.15,0.19,25%,17%,1/6,27,62,63,12,11,14
Valorant Champions 2021,Playoffs,Semifinals,NagZ,KR�� Esports,jett,41,1.37,261,1.65,76%,166,0.93,0.1,0.27,0.1,24%,29%,2/7,25,38,23,4,11,4
Valorant Champions 2021,Playoffs,Semifinals,NagZ,KR�� Esports,sage,34,0.59,112,0.48,62%,68,0.38,0.35,0.09,0.15,12%,0%,0/5,13,13,27,12,3,5
Valorant Champions 2021,Playoffs,Semifinals,NagZ,KR�� Esports,"jett, sage",75,1.11,211,1.02,69%,122,0.68,0.21,0.19,0.12,20%,17%,2/12,25,51,50,16,14,9
Valorant Champions 2021,Playoffs,Semifinals,Chronicle,Gambit Esports,sova,54,1.28,241,1.29,78%,175,0.81,0.43,0.15,0.02,32%,0%,0/6,30,44,34,23,8,1
Valorant Champions 2021,Playoffs,Semifinals,Chronicle,Gambit Esports,skye,21,1.55,305,2.18,81%,190,1.14,0.14,0.14,0.1,31%,33%,1/3,24,24,11,3,3,2
Valorant Champions 2021,Playoffs,Semifinals,Chronicle,Gambit Esports,"skye, sova",75,1.37,262,1.51,79%,179,0.91,0.35,0.15,0.04,32%,11%,1/9,30,68,45,26,11,3
Valorant Champions 2021,Playoffs,Semifinals,Redgar,Gambit Esports,sova,21,1.18,202,1.21,71%,153,0.81,0.19,0.1,0.1,37%,20%,1/5,17,17,14,4,2,2
Valorant Champions 2021,Playoffs,Semifinals,Redgar,Gambit Esports,astra,54,0.97,185,0.95,78%,115,0.69,0.43,0.11,0.06,25%,0%,0/8,22,37,39,23,6,3
Valorant Champions 2021,Playoffs,Semifinals,Redgar,Gambit Esports,"astra, sova",75,1.04,191,1.02,76%,126,0.72,0.36,0.11,0.07,28%,8%,1/13,22,54,53,27,8,5
Valorant Champions 2021,Playoffs,Semifinals,nAts,Gambit Esports,viper,55,1.04,195,1.05,73%,145,0.71,0.33,0.13,0.05,33%,0%,0/3,29,39,37,18,7,3
Valorant Champions 2021,Playoffs,Semifinals,nAts,Gambit Esports,cypher,20,0.62,141,0.63,60%,101,0.5,0.15,0,0.2,33%,0%,0/3,10,10,16,3,0,4
Valorant Champions 2021,Playoffs,Semifinals,nAts,Gambit Esports,"cypher, viper",75,0.9,177,0.92,69%,133,0.65,0.28,0.09,0.09,33%,0%,0/6,29,49,53,21,7,7
Valorant Champions 2021,Playoffs,Semifinals,d3ffo,Gambit Esports,skye,20,1.04,191,0.93,70%,121,0.65,0.45,0.1,0.15,23%,0%,0/1,13,13,14,9,2,3
Valorant Champions 2021,Playoffs,Semifinals,d3ffo,Gambit Esports,jett,55,0.97,220,1.05,67%,142,0.76,0.13,0.2,0.11,26%,25%,1/4,28,42,40,7,11,6
Valorant Champions 2021,Playoffs,Semifinals,d3ffo,Gambit Esports,"jett, skye",75,0.99,210,1.02,68%,136,0.73,0.21,0.17,0.12,25%,20%,1/5,28,55,54,16,13,9
Valorant Champions 2021,Playoffs,Semifinals,sheydos,Gambit Esports,skye,34,1.03,167,0.86,76%,117,0.56,0.38,0.09,0.03,24%,0%,0/2,19,19,22,13,3,1
Valorant Champions 2021,Playoffs,Semifinals,sheydos,Gambit Esports,reyna,21,0.79,126,0.85,76%,83,0.52,0.05,0.05,0.19,30%,,,11,11,13,1,1,4
Valorant Champions 2021,Playoffs,Semifinals,sheydos,Gambit Esports,sage,20,0.98,154,0.57,75%,119,0.4,0.6,0.05,0.1,26%,0%,0/2,8,8,14,12,1,2
Valorant Champions 2021,Playoffs,Semifinals,sheydos,Gambit Esports,"reyna, sage, skye",75,0.93,149,0.78,76%,108,0.51,0.35,0.07,0.09,26%,0%,0/4,19,38,49,26,5,7
Valorant Champions 2021,Playoffs,Semifinals,Jamppi,Team Liquid,sova,19,0.73,180,0.73,74%,122,0.58,0.21,0.11,0.16,24%,0%,0/1,11,11,15,4,2,3
Valorant Champions 2021,Playoffs,Semifinals,Jamppi,Team Liquid,astra,18,0.66,139,0.67,56%,84,0.56,0.06,0.11,0.11,18%,0%,0/4,10,10,15,1,2,2
Valorant Champions 2021,Playoffs,Semifinals,Jamppi,Team Liquid,"astra, sova",37,0.7,160,0.7,65%,104,0.57,0.14,0.11,0.14,21%,0%,0/5,11,21,30,5,4,5
Valorant Champions 2021,Playoffs,Semifinals,Nivera,Team Liquid,viper,37,0.87,176,0.79,76%,120,0.62,0.24,0,0.05,31%,0%,0/7,13,23,29,9,0,2
Valorant Champions 2021,Playoffs,Semifinals,soulcas,Team Liquid,raze,18,0.72,188,0.73,56%,139,0.61,0.17,0.11,0.28,18%,0%,0/1,11,11,15,3,2,5
Valorant Champions 2021,Playoffs,Semifinals,soulcas,Team Liquid,kayo,19,0.51,80,0.43,63%,46,0.32,0.32,0,0.16,25%,0%,0/2,6,6,14,6,0,3
Valorant Champions 2021,Playoffs,Semifinals,soulcas,Team Liquid,"kayo, raze",37,0.61,134,0.59,59%,91,0.46,0.24,0.05,0.22,20%,0%,0/3,11,17,29,9,2,8
Valorant Champions 2021,Playoffs,Semifinals,L1NK,Team Liquid,breach,18,0.83,162,0.71,72%,116,0.56,0.11,0.11,0,44%,0%,0/2,10,10,14,2,2,0
