Tournament,Stage,Match Type,Player,Teams,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths
Valorant Champions 2021,Playoffs,Quarterfinals,Chronicle,Gambit Esports,brimstone,20,1.39,230,1.31,80%,165,0.85,0.45,0,0.1,25%,25%,1/4,17,17,13,9,0,2
Valorant Champions 2021,Playoffs,Quarterfinals,Chronicle,Gambit Esports,sova,20,0.85,243,1.13,70%,158,0.85,0.05,0.05,0.1,32%,0%,0/3,17,17,15,1,1,2
Valorant Champions 2021,Playoffs,Quarterfinals,Chronicle,Gambit Esports,skye,20,1.43,264,2,90%,178,1,0.2,0.05,0.05,29%,0%,0/3,20,20,10,4,1,1
Valorant Champions 2021,Playoffs,Quarterfinals,Chronicle,Gambit Esports,"brimstone, skye, sova",60,1.22,246,1.42,80%,167,0.9,0.23,0.03,0.08,29%,10%,1/10,20,54,38,14,2,5
Valorant Champions 2021,Playoffs,Quarterfinals,Redgar,Gambit Esports,sova,20,1.21,194,1.56,70%,142,0.7,0.05,0.1,0.05,39%,,,14,14,9,1,2,1
Valorant Champions 2021,Playoffs,Quarterfinals,Redgar,Gambit Esports,astra,20,0.78,107,0.54,65%,82,0.35,0.6,0.05,0.05,41%,0%,0/4,7,7,13,12,1,1
Valorant Champions 2021,Playoffs,Quarterfinals,Redgar,Gambit Esports,breach,20,0.94,113,0.79,70%,56,0.55,0.45,0,0,19%,33%,1/3,11,11,14,9,0,0
Valorant Champions 2021,Playoffs,Quarterfinals,Redgar,Gambit Esports,"astra, breach, sova",60,0.98,138,0.89,68%,94,0.53,0.37,0.05,0.03,32%,14%,1/7,14,32,36,22,3,2
Valorant Champions 2021,Playoffs,Quarterfinals,d3ffo,Gambit Esports,jett,40,1.07,196,1.08,68%,127,0.7,0.13,0.1,0.18,25%,25%,1/4,15,28,26,5,4,7
Valorant Champions 2021,Playoffs,Quarterfinals,d3ffo,Gambit Esports,raze,20,1.37,330,1.24,70%,208,1.05,0.45,0.25,0.25,15%,,,21,21,17,9,5,5
Valorant Champions 2021,Playoffs,Quarterfinals,d3ffo,Gambit Esports,"jett, raze",60,1.17,241,1.14,68%,154,0.82,0.23,0.15,0.2,20%,25%,1/4,21,49,43,14,9,12
Valorant Champions 2021,Playoffs,Quarterfinals,nAts,Gambit Esports,cypher,40,1.06,216,1.12,70%,146,0.73,0.2,0.08,0.1,33%,33%,2/6,15,29,26,8,3,4
Valorant Champions 2021,Playoffs,Quarterfinals,nAts,Gambit Esports,viper,20,1.07,186,1.27,85%,98,0.7,0.35,0.05,0.1,20%,,,14,14,11,7,1,2
Valorant Champions 2021,Playoffs,Quarterfinals,nAts,Gambit Esports,"cypher, viper",60,1.06,206,1.16,75%,130,0.72,0.25,0.07,0.1,29%,33%,2/6,15,43,37,15,4,6
Valorant Champions 2021,Playoffs,Quarterfinals,sheydos,Gambit Esports,reyna,20,0.82,215,0.81,85%,145,0.65,0.45,0.15,0.2,22%,0%,0/1,13,13,16,9,3,4
Valorant Champions 2021,Playoffs,Quarterfinals,sheydos,Gambit Esports,sage,20,1.46,244,1.5,90%,162,0.9,0.6,0.1,0.1,27%,0%,0/1,18,18,12,12,2,2
Valorant Champions 2021,Playoffs,Quarterfinals,sheydos,Gambit Esports,skye,20,0.45,109,0.47,70%,68,0.4,0.15,0.1,0.2,19%,0%,0/1,8,8,17,3,2,4
Valorant Champions 2021,Playoffs,Quarterfinals,sheydos,Gambit Esports,"reyna, sage, skye",60,0.91,189,0.87,82%,125,0.65,0.4,0.12,0.17,24%,0%,0/3,18,39,45,24,7,10
Valorant Champions 2021,Playoffs,Quarterfinals,BONECOLD,Acend,sova,40,1.31,240,1.57,88%,166,0.9,0.4,0.1,0.1,29%,29%,2/7,19,36,23,16,4,4
Valorant Champions 2021,Playoffs,Quarterfinals,cNed,Acend,jett,40,1.39,304,1.59,83%,199,1.08,0.3,0.3,0.05,33%,0%,0/3,25,43,27,12,12,2
Valorant Champions 2021,Playoffs,Quarterfinals,Kiles,Acend,cypher,19,0.95,186,1.15,68%,114,0.79,0.16,0,0.05,23%,0%,0/1,15,15,13,3,0,1
Valorant Champions 2021,Playoffs,Quarterfinals,Kiles,Acend,viper,21,0.86,164,0.69,76%,116,0.52,0.76,0.05,0.05,19%,33%,1/3,11,11,16,16,1,1
Valorant Champions 2021,Playoffs,Quarterfinals,Kiles,Acend,"cypher, viper",40,0.9,175,0.9,73%,115,0.65,0.48,0.03,0.05,21%,25%,1/4,15,26,29,19,1,2
Valorant Champions 2021,Playoffs,Quarterfinals,zeek,Acend,reyna,21,1.13,283,1.24,76%,187,1,0.24,0.14,0.1,23%,0%,0/2,21,21,17,5,3,2
Valorant Champions 2021,Playoffs,Quarterfinals,zeek,Acend,kayo,19,1.45,238,1.89,84%,139,0.89,0.84,0.11,0.11,16%,0%,0/1,17,17,9,16,2,2
Valorant Champions 2021,Playoffs,Quarterfinals,zeek,Acend,"kayo, reyna",40,1.29,260,1.46,80%,164,0.95,0.53,0.13,0.1,20%,0%,0/3,21,38,26,21,5,4
Valorant Champions 2021,Playoffs,Quarterfinals,starxo,Acend,viper,19,1.1,136,1,74%,89,0.53,0.21,0.11,0.05,17%,,,10,10,10,4,2,1
Valorant Champions 2021,Playoffs,Quarterfinals,starxo,Acend,sage,21,0.68,106,0.6,52%,66,0.43,0.24,0.05,0.1,11%,100%,1/1,9,9,15,5,1,2
Valorant Champions 2021,Playoffs,Quarterfinals,starxo,Acend,"sage, viper",40,0.89,121,0.76,63%,77,0.48,0.23,0.08,0.08,14%,100%,1/1,10,19,25,9,3,3
Valorant Champions 2021,Playoffs,Quarterfinals,Boaster,FNATIC,sova,47,1.2,194,1.19,70%,141,0.66,0.43,0.02,0.09,27%,0%,0/6,20,31,26,20,1,4
Valorant Champions 2021,Playoffs,Quarterfinals,Boaster,FNATIC,astra,21,0.9,125,0.64,57%,98,0.43,0.29,0,0.1,17%,50%,1/2,9,9,14,6,0,2
Valorant Champions 2021,Playoffs,Quarterfinals,Boaster,FNATIC,"astra, sova",68,1.1,171,1,66%,128,0.59,0.38,0.01,0.09,24%,13%,1/8,20,40,40,26,1,6
Valorant Champions 2021,Playoffs,Quarterfinals,Derke,FNATIC,jett,47,1.38,309,1.58,66%,185,1.11,0.06,0.32,0.21,33%,0%,0/2,29,52,33,3,15,10
Valorant Champions 2021,Playoffs,Quarterfinals,Derke,FNATIC,raze,21,0.75,187,0.68,67%,107,0.62,0.14,0.14,0.43,12%,,,13,13,19,3,3,9
Valorant Champions 2021,Playoffs,Quarterfinals,Derke,FNATIC,"jett, raze",68,1.17,268,1.25,66%,161,0.96,0.09,0.26,0.28,26%,0%,0/2,29,65,52,6,18,19
Valorant Champions 2021,Playoffs,Quarterfinals,doma,FNATIC,kayo,21,1.02,218,1.07,81%,153,0.76,0.33,0.1,0.1,27%,0%,0/3,16,16,15,7,2,2
Valorant Champions 2021,Playoffs,Quarterfinals,doma,FNATIC,sage,19,1.12,211,1.17,58%,142,0.74,0.21,0.05,0,38%,,,14,14,12,4,1,0
Valorant Champions 2021,Playoffs,Quarterfinals,doma,FNATIC,skye,28,0.98,164,0.89,71%,112,0.57,0.43,0.07,0.14,40%,0%,0/1,16,16,18,12,2,4
Valorant Champions 2021,Playoffs,Quarterfinals,doma,FNATIC,"kayo, sage, skye",68,1.04,198,1.02,71%,133,0.68,0.34,0.07,0.09,34%,0%,0/4,16,46,45,23,5,6
Valorant Champions 2021,Playoffs,Quarterfinals,Mistic,FNATIC,viper,40,1.01,157,0.79,68%,102,0.55,0.33,0.03,0,39%,0%,0/6,12,22,28,13,1,0
Valorant Champions 2021,Playoffs,Quarterfinals,Mistic,FNATIC,astra,28,1,186,1.06,75%,112,0.68,0.39,0.14,0.04,41%,0%,0/3,19,19,18,11,4,1
Valorant Champions 2021,Playoffs,Quarterfinals,Mistic,FNATIC,"astra, viper",68,1.01,167,0.89,71%,106,0.6,0.35,0.07,0.01,40%,0%,0/9,19,41,46,24,5,1
Valorant Champions 2021,Playoffs,Quarterfinals,MAGNUM,FNATIC,killjoy,68,0.92,162,0.82,69%,115,0.53,0.13,0.04,0.07,26%,13%,1/8,15,36,44,9,3,5
Valorant Champions 2021,Playoffs,Quarterfinals,foxz,X10 Esports,sova,40,1.19,196,1.21,70%,127,0.73,0.3,0.1,0,23%,25%,2/8,18,29,24,12,4,0
Valorant Champions 2021,Playoffs,Quarterfinals,foxz,X10 Esports,kayo,20,0.45,171,0.59,60%,117,0.5,0.3,0.05,0.15,28%,0%,0/2,10,10,17,6,1,3
Valorant Champions 2021,Playoffs,Quarterfinals,foxz,X10 Esports,"kayo, sova",60,0.94,188,0.95,67%,124,0.65,0.3,0.08,0.05,25%,20%,2/10,18,39,41,18,5,3
Valorant Champions 2021,Playoffs,Quarterfinals,Patiphan,X10 Esports,jett,60,0.95,224,1,77%,142,0.77,0.22,0.17,0.1,18%,0%,0/7,19,46,46,13,10,6
Valorant Champions 2021,Playoffs,Quarterfinals,Sushiboys,X10 Esports,cypher,40,1.09,199,1,68%,121,0.73,0.33,0.2,0.13,29%,0%,0/2,16,29,29,13,8,5
Valorant Champions 2021,Playoffs,Quarterfinals,Sushiboys,X10 Esports,killjoy,20,0.95,226,1,80%,170,0.75,0.25,0.1,0.05,24%,50%,1/2,15,15,15,5,2,1
Valorant Champions 2021,Playoffs,Quarterfinals,Sushiboys,X10 Esports,"cypher, killjoy",60,1.04,208,1,72%,138,0.73,0.3,0.17,0.1,27%,25%,1/4,16,44,44,18,10,6
Valorant Champions 2021,Playoffs,Quarterfinals,Crws,X10 Esports,kayo,40,1.03,178,0.85,75%,126,0.58,0.63,0.15,0.13,18%,0%,0/2,13,23,27,25,6,5
Valorant Champions 2021,Playoffs,Quarterfinals,Crws,X10 Esports,breach,20,0.8,198,0.76,65%,126,0.65,0.3,0.15,0,16%,100%,1/1,13,13,17,6,3,0
Valorant Champions 2021,Playoffs,Quarterfinals,Crws,X10 Esports,"breach, kayo",60,0.95,184,0.82,72%,126,0.6,0.52,0.15,0.08,17%,33%,1/3,13,36,44,31,9,5
Valorant Champions 2021,Playoffs,Quarterfinals,sScary,X10 Esports,viper,20,1.01,168,0.92,55%,114,0.6,0.2,0,0,20%,0%,0/5,12,12,13,4,0,0
Valorant Champions 2021,Playoffs,Quarterfinals,sScary,X10 Esports,astra,40,0.8,132,0.76,75%,97,0.55,0.4,0.03,0.13,40%,0%,0/6,11,22,29,16,1,5
Valorant Champions 2021,Playoffs,Quarterfinals,sScary,X10 Esports,"astra, viper",60,0.87,144,0.81,68%,103,0.57,0.33,0.02,0.08,31%,0%,0/11,12,34,42,20,1,5
Valorant Champions 2021,Playoffs,Quarterfinals,Jamppi,Team Liquid,sova,23,1.15,199,1.31,83%,120,0.74,0.22,0.04,0.04,20%,33%,1/3,17,17,13,5,1,1
Valorant Champions 2021,Playoffs,Quarterfinals,Jamppi,Team Liquid,jett,24,0.79,214,0.95,63%,119,0.75,0.08,0.17,0.25,13%,0%,0/1,18,18,19,2,4,6
Valorant Champions 2021,Playoffs,Quarterfinals,Jamppi,Team Liquid,"jett, sova",47,0.97,206,1.09,72%,120,0.74,0.15,0.11,0.15,16%,25%,1/4,18,35,32,7,5,7
Valorant Champions 2021,Playoffs,Quarterfinals,soulcas,Team Liquid,sova,24,0.88,149,0.86,75%,110,0.5,0.25,0,0.13,37%,25%,1/4,12,12,14,6,0,3
Valorant Champions 2021,Playoffs,Quarterfinals,soulcas,Team Liquid,kayo,23,0.93,205,0.83,74%,126,0.65,0.61,0.04,0.26,32%,,,15,15,18,14,1,6
Valorant Champions 2021,Playoffs,Quarterfinals,soulcas,Team Liquid,"kayo, sova",47,0.9,177,0.84,74%,118,0.57,0.43,0.02,0.19,34%,25%,1/4,15,27,32,20,1,9
Valorant Champions 2021,Playoffs,Quarterfinals,ScreaM,Team Liquid,reyna,47,1.31,304,1.52,74%,204,1.06,0.15,0.17,0.15,36%,0%,0/6,26,50,33,7,8,7
Valorant Champions 2021,Playoffs,Quarterfinals,Nivera,Team Liquid,viper,23,0.94,155,1,57%,114,0.57,0.17,0.04,0.04,48%,67%,2/3,13,13,13,4,1,1
Valorant Champions 2021,Playoffs,Quarterfinals,Nivera,Team Liquid,killjoy,24,1.25,244,1.54,67%,164,0.83,0.25,0.04,0.13,25%,50%,1/2,20,20,13,6,1,3
Valorant Champions 2021,Playoffs,Quarterfinals,Nivera,Team Liquid,"killjoy, viper",47,1.1,200,1.27,62%,139,0.7,0.21,0.04,0.09,31%,60%,3/5,20,33,26,10,2,4
Valorant Champions 2021,Playoffs,Quarterfinals,L1NK,Team Liquid,astra,47,0.94,144,0.96,77%,96,0.55,0.21,0.02,0.06,25%,20%,1/5,17,26,27,10,1,3
Valorant Champions 2021,Playoffs,Quarterfinals,xeta,Cloud9,sova,47,1.05,192,0.85,79%,141,0.6,0.38,0.06,0.02,25%,17%,1/6,16,28,33,18,3,1
Valorant Champions 2021,Playoffs,Quarterfinals,leaf,Cloud9,jett,24,1.36,307,1.39,79%,192,1.04,0.33,0.42,0.17,26%,0%,0/1,25,25,18,8,10,4
